DATE,COUNTRY,COUNT,
01-Sep-15, Jordan," the WHO has been notified of 1,478  of infection with MERS-CoV, including at least 516 ",
27-Aug-15, Saudi Arabia," since September 2012, WHO has been notified of 1,474  of infection with MERS-CoV, including at least 515 ",
26-Aug-15, Saudi Arabia," since September 2012, WHO has been notified of 1,461  of infection with MERS-CoV, including at least 514 ",
21-Aug-15, Saudi Arabia," since September 2012, WHO has been notified of 1,432  of infection with MERS-CoV, including at least 507 ",
18-Aug-15, Saudi Arabia," since September 2012, WHO has been notified of 1,413  of infection with MERS-CoV, including at least 502 ",
12-Aug-15, Saudi Arabia," since September 2012, WHO has been notified of 1,401  of infection with MERS-CoV, including at least 500 ",
06-Aug-15, Saudi Arabia," since September 2012, WHO has been notified of 1,384  of infection with MERS-CoV, including at least 495 ",
29-Jul-15, Saudi Arabia," since September 2012, WHO has been notified of 1,382  of infection with MERS-CoV, including at least 493 ",
24-Jul-15, Saudi Arabia,"  since September 2012, WHO has been notified of 1,374  of infection with MERS-CoV, including at least 490 ",
21-Jul-15, Republic of Korea,"  since September 2012, WHO has been notified of 1,368  of infection with MERS-CoV, including at least 490 ",
17-Jul-15, Republic of Korea,"  since September 2012, WHO has been notified of 1,368  of infection with MERS-CoV, including at least 490 ",
14-Jul-15, Republic of Korea," since September 2012, WHO has been notified of 1,368  of infection with MERS-CoV, including at least 490 ",
10-Jul-15, Thailand (update)," since September 2012, WHO has been notified of 1,368  of infection with MERS-CoV, including at least 489 ",
10-Jul-15, Republic of Korea,"  since September 2012, WHO has been notified of 1,368  of infection with MERS-CoV, including at least 489 ",
10-Jul-15, The Philippines (update)," since September 2012, WHO has been notified of 1,368  of infection with MERS-CoV, including at least 487 ",
08-Jul-15, The Philippines," since September 2012, WHO has been notified of 1,368  of infection with MERS-CoV, including at least 487 ",
